Year,Mortality Rate,Country
1971,5.48,UK
1972,5.52,UK
1973,5.43,UK
1974,5.38,UK
1975,5.4,UK
1976,5.33,UK
1977,4.95,UK
1978,4.5,UK
1979,4.57,UK
1980,4.88,UK
1981,5.18,UK
1982,5.3,UK
1983,5.42,UK
1984,5.78,UK
1985,6.08,UK
1986,6.43,UK
1987,6.62,UK
1988,6.68,UK
1989,6.9,UK
1990,7.35,UK
1991,7.85,UK
1992,8.2,UK
1993,8.38,UK
1994,8.6,UK
1995,8.85,UK
1996,9.17,UK
1997,9.37,UK
1998,9.55,UK
1999,9.68,UK
2000,10.0,UK
2001,10.18,UK
2002,10.55,UK
2003,10.93,UK
2004,11.6,UK
2005,12.15,UK
2006,12.72,UK
2007,13.32,UK
2008,13.9,UK
2009,14.65,UK
2010,15.58,UK
2011,16.7,UK
2012,17.77,UK
2013,18.33,UK
2014,18.78,UK
2015,19.13,UK
2016,19.55,UK
2017,19.92,UK
1999,5.05,Germany
2000,5.1,Germany
2001,4.95,Germany
2002,5.05,Germany
2003,5.25,Germany
2004,5.199999999999999,Germany
2005,5.1,Germany
2006,5.45,Germany
2007,5.5,Germany
2008,5.5,Germany
2009,5.55,Germany
2010,5.55,Germany
2011,5.75,Germany
2012,5.7,Germany
2013,5.55,Germany
2014,5.55,Germany
2015,5.6,Germany
2016,5.6,Germany
2017,5.45,Germany
2018,5.35,Germany
2019,5.45,Germany
2020,5.55,Germany
2021,5.35,Germany
2022,5.3,Germany
2023,5.3,Germany
