Year,GDP,Country
1960-01-01,15135.1119546749,UK
1961-01-01,15426.2016243502,UK
1962-01-01,15463.8941604394,UK
1963-01-01,16094.471648489,UK
1964-01-01,16884.7746178486,UK
1965-01-01,17134.0413143954,UK
1966-01-01,17306.9316360564,UK
1967-01-01,17691.7915807492,UK
1968-01-01,18569.3987239159,UK
1969-01-01,18850.9389500608,UK
1970-01-01,19284.4869197438,UK
1971-01-01,19877.1598176267,UK
1972-01-01,20665.9960556535,UK
1973-01-01,21971.7243074805,UK
1974-01-01,21412.3512148024,UK
1975-01-01,21098.3743618178,UK
1976-01-01,21717.7359378902,UK
1977-01-01,22258.8198333192,UK
1978-01-01,23193.3954328959,UK
1979-01-01,24041.338024567,UK
1980-01-01,23524.8369726649,UK
1981-01-01,23331.3956961222,UK
1982-01-01,23805.3626651459,UK
1983-01-01,24801.9316298985,UK
1984-01-01,25324.6026235794,UK
1985-01-01,26315.1286500244,UK
1986-01-01,27081.3489722657,UK
1987-01-01,28481.1492719879,UK
1988-01-01,30047.0088495828,UK
1989-01-01,30741.373836081,UK
1990-01-01,30874.5089314482,UK
1991-01-01,30439.6458572767,UK
1992-01-01,30479.1970018521,UK
1993-01-01,31163.2753403968,UK
1994-01-01,32279.5337364039,UK
1995-01-01,33009.3041509745,UK
1996-01-01,33775.5009001382,UK
1997-01-01,35347.7635433746,UK
1998-01-01,36448.2642198935,UK
1999-01-01,37440.7940592239,UK
2000-01-01,38918.4550574708,UK
2001-01-01,39768.6663463971,UK
2002-01-01,40310.3049399328,UK
2003-01-01,41385.5404684913,UK
2004-01-01,42149.2703352153,UK
2005-01-01,43007.3629245892,UK
2006-01-01,43711.1550172471,UK
2007-01-01,44508.6057952919,UK
2008-01-01,44060.0030980603,UK
2009-01-01,41709.9661677375,UK
2010-01-01,42310.749912752,UK
2011-01-01,42462.1067349807,UK
2012-01-01,42805.8425172666,UK
2013-01-01,43282.2097513788,UK
2014-01-01,44337.6786402733,UK
2015-01-01,44964.3911437292,UK
2016-01-01,45482.1782886254,UK
2017-01-01,46373.6385314155,UK
2018-01-01,46740.5535926377,UK
2019-01-01,47240.599622327,UK
2020-01-01,42191.9173665785,UK
2021-01-01,45889.6110228554,UK
2022-01-01,47343.4743776948,UK
2023-01-01,47005.1190099575,UK
1960-01-01,12489.3592620602,Germany
1961-01-01,12926.3090299142,Germany
1962-01-01,13405.5406852329,Germany
1963-01-01,13645.2968792988,Germany
1964-01-01,14434.5843988721,Germany
1965-01-01,15062.4961211705,Germany
1966-01-01,15357.3778558569,Germany
1967-01-01,15236.8355102203,Germany
1968-01-01,16029.1340582433,Germany
1969-01-01,17082.1941647114,Germany
1970-01-01,17894.2966855025,Germany
1971-01-01,18421.0421814761,Germany
1972-01-01,19121.4978922895,Germany
1973-01-01,19972.0254072346,Germany
1974-01-01,20141.9394753194,Germany
1975-01-01,20041.9479922639,Germany
1976-01-01,21124.2556950912,Germany
1977-01-01,21880.8076281356,Germany
1978-01-01,22558.714790358,Germany
1979-01-01,23484.5991918307,Germany
1980-01-01,23766.107651563,Germany
1981-01-01,23855.5258569738,Germany
1982-01-01,23783.9454870064,Germany
1983-01-01,24221.3403747435,Germany
1984-01-01,24991.3336835112,Germany
1985-01-01,25630.3329976336,Germany
1986-01-01,26204.5895785314,Germany
1987-01-01,26531.229705288,Germany
1988-01-01,27407.5200661963,Germany
1989-01-01,28256.1062209731,Germany
1990-01-01,29485.7099744881,Germany
1991-01-01,30766.9289577727,Germany
1992-01-01,31121.0705650076,Germany
1993-01-01,30615.1402117435,Germany
1994-01-01,31238.8790596628,Germany
1995-01-01,31628.1598130943,Germany
1996-01-01,31790.8668596056,Germany
1997-01-01,32313.2970704344,Germany
1998-01-01,32959.0735691418,Germany
1999-01-01,33559.3993737499,Germany
2000-01-01,34490.0757688619,Germany
2001-01-01,35011.068457503,Germany
2002-01-01,34883.0580735445,Germany
2003-01-01,34619.6640670185,Germany
2004-01-01,35034.0806086181,Germany
2005-01-01,35310.4704669272,Germany
2006-01-01,36699.446781036,Germany
2007-01-01,37842.3577913563,Germany
2008-01-01,38278.3130082531,Germany
2009-01-01,36190.3928860698,Germany
2010-01-01,37760.9136283996,Germany
2011-01-01,39977.3417095357,Germany
2012-01-01,40069.3539560742,Germany
2013-01-01,40135.0158319837,Germany
2014-01-01,40851.1617304855,Germany
2015-01-01,41103.2564363768,Germany
2016-01-01,41682.0322433511,Germany
2017-01-01,42639.5544087286,Germany
2018-01-01,42928.7412368012,Germany
2019-01-01,43292.6838917385,Germany
2020-01-01,41601.9731563516,Germany
2021-01-01,42900.0225187383,Germany
2022-01-01,43361.1771204321,Germany
2023-01-01,42878.8118385764,Germany
